type	name	callees
PROGRAM	LCMODL	CHECK_CHLESS, CHECK_ZERO_VOXELS, COMBIS, FINOUT, INITIA, LOADCH, MYBASI, MYCONT, OPEN_OUTPUT, RESTORE_SETTINGS, STARTV, TWOREG
SUBROUTINE	MYCONT	ERRMES, REMOVE_BLANK_START, TOUPPER_LOWER
SUBROUTINE	CHECK_ZERO_VOXELS	
SUBROUTINE	AVERAGE	ERRMES, MYDATA
FUNCTION	GETVAR	
SUBROUTINE	RESTORE_SETTINGS	
SUBROUTINE	UPDATE_PRIORS	
SUBROUTINE	OPEN_OUTPUT	CHSTRIP_INT6, FDATE, SPLIT_TITLE
SUBROUTINE	SPLIT_FILENAME	
FUNCTION	ICHARST	
SUBROUTINE	CHSTRIP_INT6	
SUBROUTINE	SPLIT_TITLE	
SUBROUTINE	LOADCH	COMPACT_STRING, ERRMES
SUBROUTINE	COMPACT_STRING	
SUBROUTINE	DCFFT_R	DF2TCF, DFFTCI
SUBROUTINE	ERRMES	EXITPS
SUBROUTINE	INITIA	ERRMES
SUBROUTINE	DATAIN	CFFT, CFFTIN, FTDATA
FUNCTION	ICYCLE_R	
FUNCTION	ICYCLE	
SUBROUTINE	MYDATA	ERRMES, PHASE_WITH_MAX_REAL, SEQTOT
SUBROUTINE	PHASE_WITH_MAX_REAL	CSFT_R
SUBROUTINE	SMOOTH_TAIL	SMOOTH_TAIL_2
SUBROUTINE	SMOOTH_TAIL_2	
SUBROUTINE	ECC_TRUNCATE	CSFT_R, CSFTIN_R
FUNCTION	IGETP	
SUBROUTINE	MYBASI	CFFT, CFFT_R, CFFTIN, ERRMES, SET_LSHAPE_FALSE, TOUPPER_LOWER, WATER_SCALE
SUBROUTINE	MAKE_CGROUP_SHIFT	ERRMES
SUBROUTINE	PARSE_CHSIMU	ERRMES, GET_FIELD
SUBROUTINE	SET_LSHAPE_FALSE	
SUBROUTINE	WATER_SCALE	ERRMES
FUNCTION	AREAWA	ERRMES
FUNCTION	AREAW2	CSFT_R, GETPHA, INTEGRATE
SUBROUTINE	GETPHA	
SUBROUTINE	INTEGRATE	
FUNCTION	AREABA	ERRMES
SUBROUTINE	COMBIS	ERRMES
SUBROUTINE	STARTV	CFFT_R, ERRMES, FTDATA, PHASTA, PLINLS, REPHAS, SAVBES, SETUP, SHIFTD
SUBROUTINE	FTDATA	CFFT_R, ERRMES, SHIFTD
SUBROUTINE	SHIFTD	
SUBROUTINE	SETUP	EIGVRS, ERRMES, GBACKG, SETUP3, SOLVE
SUBROUTINE	SETUP3	
SUBROUTINE	PHASTA	CFFT_R, ERRMES
SUBROUTINE	GBACKG	MERGE_LEFT, MERGE_RIGHT
SUBROUTINE	MERGE_RIGHT	
SUBROUTINE	MERGE_LEFT	
SUBROUTINE	CHECK_CHLESS	ERRMES
SUBROUTINE	TWOREG	ERRMES, REPHAS, SAVBES, TWOREG_SAV, TWORG1, TWORG2
SUBROUTINE	TWORG1	REPHAS, TWOREG_SAV, TWORG2
SUBROUTINE	TWOREG_SAV	SAVBES
SUBROUTINE	TWORG2	CONC_PRIOR, ERRMES, PLINLS, REPHAS, RFALSI, SAVBES, SETUP, TWORG3
SUBROUTINE	TWORG3	ERRMES, RFALSI, SAVBES, SSRANG
FUNCTION	R_BASE_SOL_BIG	ERRMES, SAVBES, SOLVE
SUBROUTINE	CONC_PRIOR	ERRMES, PARSE_PRIOR, PARSE_SUM
SUBROUTINE	PARSE_PRIOR	ERRMES, GET_FIELD
SUBROUTINE	GET_FIELD	ERRMES
SUBROUTINE	PARSE_SUM	ERRMES
FUNCTION	LDEGMX	
FUNCTION	NEXTRE	
FUNCTION	INFLEC	
SUBROUTINE	SSRANG	
SUBROUTINE	RFALSI	ERRMES, FINOUT, PLINLS, REPHAS, SAVBES, SSRANG
FUNCTION	PENLTY	
SUBROUTINE	REPHAS	
FUNCTION	FSHSSQ	ERRMES
SUBROUTINE	PLINLS	ERRMES, PASTEP, SOLVE
SUBROUTINE	DUMP1	
SUBROUTINE	PASTEP	
SUBROUTINE	SOLVE	DCFFT_R, ERRMES, PNNLS
SUBROUTINE	SAVBES	
SUBROUTINE	FINOUT	CFFT_R, CFFTIN, ERRMES, EXITPS, PLINLS, PLPRIN, REPHAS, SAVBES, SOLVE
SUBROUTINE	EXITPS	ERRTBL, MAKEPS
SUBROUTINE	ERRTBL	
SUBROUTINE	MAKEPS	ENDPS, ONEPAG, PSETUP, REVERS, TOUPPER_LOWER
SUBROUTINE	REVERS	
SUBROUTINE	ONEPAG	AXIS, BOX, CHECK_BOTTOM, DASH, END_TABLE, ENDRND, ERRMES, ERRTBL, FONT, LINE, LINEWD, PLOT_GAP, PSETUP, RGB, STRCHK, STRING, TICK
SUBROUTINE	END_TABLE	LINE, LINEWD, RGB
SUBROUTINE	CHECK_BOTTOM	LINE, LINEWD, RGB
SUBROUTINE	HEX	STRPOU
SUBROUTINE	REMOVE_BLANK_START	
SUBROUTINE	TOUPPER_LOWER	
SUBROUTINE	FIX_G77_NAMELIST	
SUBROUTINE	ENDRND	
FUNCTION	CHREAL	
SUBROUTINE	STRCHK	
SUBROUTINE	TICK	STRPOU
SUBROUTINE	AXIS	STRPOU
SUBROUTINE	LINEWD	STRPOU
SUBROUTINE	RGB	STRPOU
SUBROUTINE	DASH	STRPOU
SUBROUTINE	PLOT	HEX, STRPOU
SUBROUTINE	PLOT_GAP	HEX, STRPOU
FUNCTION	ARBBOX	
SUBROUTINE	BOX	STRPOU
SUBROUTINE	LINE	STRPOU
SUBROUTINE	PSETUP	STRPOU
SUBROUTINE	FONT	STRPOU
SUBROUTINE	STRING	SHOW, STRPOU
SUBROUTINE	SHOW	STRPOU
SUBROUTINE	SHOWPG	STRPOU
SUBROUTINE	ENDPS	STRPOU
FUNCTION	ILEN	
SUBROUTINE	STRPOU	
SUBROUTINE	CSFT_R	
SUBROUTINE	CSFTIN_R	
SUBROUTINE	SEQTOT	CFFT, CFFTIN
SUBROUTINE	CFFTIN	F2TCB, FFTCI
SUBROUTINE	CFFTIN_R	F2TCB, FFTCI
SUBROUTINE	CFFT	F2TCF, FFTCI
SUBROUTINE	CFFT_R	F2TCF, FFTCI
SUBROUTINE	DF2TCF	DCFTF1
SUBROUTINE	DCFTF1	DPASF, DPASF2, DPASF3, DPASF4, DPASF5
SUBROUTINE	DPASF	
SUBROUTINE	DPASF5	
SUBROUTINE	DPASF3	
SUBROUTINE	DPASF2	
SUBROUTINE	DPASF4	
SUBROUTINE	DFFTCI	DCFTI1
SUBROUTINE	DCFTI1	
SUBROUTINE	F2TCF	CFFTF1
SUBROUTINE	CFFTF1	PASSF, PASSF2, PASSF3, PASSF4, PASSF5
SUBROUTINE	PASSF	
SUBROUTINE	PASSF5	
SUBROUTINE	PASSF3	
SUBROUTINE	PASSF2	
SUBROUTINE	PASSF4	
SUBROUTINE	F2TCB	CFFTB1
SUBROUTINE	CFFTB1	PASSB, PASSB2, PASSB3, PASSB4, PASSB5
SUBROUTINE	PASSB	
SUBROUTINE	PASSB5	
SUBROUTINE	PASSB3	
SUBROUTINE	PASSB2	
SUBROUTINE	PASSB4	
SUBROUTINE	FFTCI	CFFTI1
SUBROUTINE	CFFTI1	
FUNCTION	RANDOM	
FUNCTION	FISHNI	
FUNCTION	DGAMLN	
FUNCTION	BETAIN	ERRMES
SUBROUTINE	PNNLS	ERRMES, G1, H12
FUNCTION	DIFF	
SUBROUTINE	G1	
SUBROUTINE	G2	
SUBROUTINE	H12	
SUBROUTINE	PLPRIN	
SUBROUTINE	EIGVRS	TQL2
SUBROUTINE	TQL2	
SUBROUTINE	TRED2	
FUNCTION	PYTHAG	
